"Date","Amount","Description","Category","User"
"2016-03-13",21.12,"Description352","Category5","User1"
"2016-03-14",32.36,"Description186","Category2","User1"
"2016-03-14",36.85,"Description194","Category1","User1"
"2016-03-14",16.34,"Description209","Category2","User1"
"2016-03-15",20.73,"Description316","Category2","User1"
"2016-03-16",11.42,"Description187","Category2","User1"
"2016-03-19",28,"Description326","Category4","User1"
"2016-03-20",35.42,"Description421","Category4","User1"
"2016-03-20",30.16,"Description428","Category2","User1"
"2016-03-26",32.61,"Description134","Category5","User1"
"2016-03-26",34,"Description299","Category2","User1"
"2016-03-26",18.23,"Description316","Category2","User1"
"2016-03-29",50,"Description287","Category6","User1"
"2016-03-29",25.95,"Description408","Category5","User1"
"2016-04-02",71,"Description263","Category4","User1"
"2016-04-03",5.25,"Description307","Category1","User1"
"2016-04-03",44.99,"Description461","Category1","User1"
"2016-04-04",4.65,"Description451","Category6","User1"
"2016-04-07",8.75,"Description333","Category4","User1"
"2016-04-08",16.95,"Description331","Category4","User1"
"2016-04-08",296.2,"Description449","Category6","User1"
"2016-04-11",1.15,"Description451","Category6","User1"
"2016-04-14",7.68,"Description195","Category1","User1"
"2016-04-17",21.29,"Description395","Category4","User1"
"2016-04-19",797.24,"Description344","Category6","User1"
"2016-04-21",8.5,"Description123","Category4","User1"
"2016-04-22",100.09,"Description344","Category6","User1"
"2016-04-22",3.77,"Description451","Category6","User1"
"2016-04-29",11.77,"Description101","Category4","User1"
"2016-05-14",34.91,"Description196","Category1","User1"
"2016-06-01",3.75,"Description343","Category4","User1"
"2016-06-02",17.24,"Description379","Category4","User1"
"2016-06-04",8.83,"Description390","Category4","User1"
"2016-06-05",20,"Description68","Category4","User1"
"2016-06-05",9.95,"Description96","Category4","User1"
"2016-06-06",44.99,"Description462","Category1","User1"
"2016-06-08",18,"Description211","Category4","User1"
"2016-06-08",21.26,"Description479","Category4","User1"
"2016-06-09",9.2,"Description399","Category4","User1"
"2016-06-10",4.91,"Description275","Category4","User1"
"2016-06-11",7,"Description114","Category4","User1"
"2016-06-12",7.74,"Description416","Category4","User1"
"2016-06-12",9,"Description265","Category4","User1"
"2016-06-13",23,"Description372","Category4","User1"
"2016-06-14",109.5,"Description198","Category1","User1"
"2016-06-14",18,"Description304","Category4","User1"
"2016-06-16",8.54,"Description392","Category4","User1"
"2016-06-17",35,"Description257","Category4","User1"
"2016-06-18",7.81,"Description252","Category4","User1"
"2016-06-18",5.64,"Description336","Category4","User1"
"2016-06-18",36.95,"Description375","Category5","User1"
"2016-06-18",16.61,"Description436","Category4","User1"
"2016-06-20",6.62,"Description392","Category4","User1"
"2016-06-21",8.07,"Description337","Category4","User1"
"2016-06-21",17.25,"Description436","Category4","User1"
"2016-06-23",25.99,"Description249","Category4","User1"
"2016-06-24",35,"Description334","Category4","User1"
"2016-06-24",5,"Description455","Category4","User1"
"2016-06-25",8.91,"Description266","Category4","User1"
"2016-06-27",32.92,"Description402","Category5","User1"
"2016-06-28",11,"Description326","Category4","User1"
"2016-06-28",7.09,"Description366","Category4","User1"
"2016-06-29",42.97,"Description401","Category5","User1"
"2016-07-04",40,"Description364","Category4","User1"
"2016-07-11",8.03,"Description439","Category6","User1"
"2016-07-12",7.41,"Description331","Category4","User1"
"2016-07-14",31.49,"Description199","Category1","User1"
"2016-07-23",13.92,"Description401","Category5","User1"
"2016-07-23",120.58,"Description444","Category6","User1"
"2016-07-24",9.65,"Description177","Category5","User1"
"2016-07-25",10.6,"Description312","Category4","User1"
"2016-07-27",30.31,"Description473","Category2","User1"
"2016-07-29",5.18,"Description278","Category4","User1"
"2016-07-29",60.77,"Description299","Category2","User1"
"2016-08-02",109.82,"Description467","Category2","User1"
"2016-08-07",10.99,"Description473","Category2","User1"
"2016-08-08",49.67,"Description72","Category5","User1"
"2016-08-08",44.99,"Description463","Category1","User1"
"2016-08-09",13.52,"Description293","Category4","User1"
"2016-08-10",13.97,"Description473","Category2","User1"
"2016-08-12",10.56,"Description473","Category2","User1"
"2016-08-14",45.5,"Description197","Category1","User1"
"2016-08-19",40.94,"Description299","Category2","User1"
"2016-08-21",863.59,"Description449","Category6","User1"
"2016-08-24",13.74,"Description138","Category2","User1"
"2016-08-26",47.33,"Description464","Category1","User1"
"2016-09-03",55.99,"Description73","Category5","User1"
"2016-09-09",7.42,"Description339","Category4","User1"
"2016-09-14",39.42,"Description200","Category1","User1"
"2016-09-18",42,"Description109","Category4","User1"
"2016-09-19",10.43,"Description473","Category2","User1"
"2016-09-21",13.65,"Description183","Category4","User1"
"2016-09-21",43.74,"Description301","Category2","User1"
"2016-09-22",8.75,"Description363","Category4","User1"
"2016-09-24",35,"Description414","Category4","User1"
"2016-09-28",27.75,"Description301","Category2","User1"
"2016-10-04",11.18,"Description293","Category4","User1"
"2016-10-04",8.85,"Description394","Category4","User1"
"2016-10-04",21.49,"Description430","Category2","User1"
"2016-10-05",10.44,"Description119","Category4","User1"
"2016-10-05",49.99,"Description465","Category1","User1"
"2016-10-06",13.98,"Description143","Category2","User1"
"2016-10-06",8.75,"Description363","Category4","User1"
"2016-10-06",2.58,"Description473","Category2","User1"
"2016-10-07",13.52,"Description293","Category4","User1"
"2016-10-12",11.31,"Description428","Category2","User1"
"2016-10-14",38.33,"Description202","Category1","User1"
"2016-10-15",16.34,"Description411","Category2","User1"
"2016-10-22",34.31,"Description430","Category2","User1"
"2016-10-23",11.18,"Description293","Category4","User1"
"2016-10-26",6.22,"Description274","Category4","User1"
"2016-10-27",36.34,"Description126","Category4","User1"
"2016-10-27",9.45,"Description385","Category4","User1"
"2016-10-28",24,"Description206","Category4","User1"
"2016-10-28",10.48,"Description433","Category2","User1"
"2016-10-29",3.31,"Description280","Category4","User1"
"2016-11-01",30,"Description253","Category4","User1"
"2016-11-04",49.99,"Description458","Category1","User1"
"2016-11-07",11.18,"Description293","Category4","User1"
"2016-11-08",14.6,"Description430","Category2","User1"
"2016-11-09",77.49,"Description467","Category2","User1"
"2016-11-11",6.25,"Description255","Category4","User1"
"2016-11-12",9.54,"Description294","Category4","User1"
"2016-11-14",94.3,"Description201","Category1","User1"
"2016-11-15",8.75,"Description363","Category4","User1"
"2016-11-21",11.18,"Description293","Category4","User1"
"2016-11-27",35,"Description61","Category4","User1"
"2016-11-27",155.35,"Description467","Category2","User1"
"2016-11-29",49.98,"Description75","Category5","User1"
"2016-11-29",11.5,"Description119","Category4","User1"
"2016-11-30",13.1,"Description430","Category2","User1"
"2016-12-02",49.99,"Description459","Category1","User1"
"2016-12-04",14.42,"Description473","Category2","User1"
"2016-12-06",33,"Description269","Category4","User1"
"2016-12-06",11.18,"Description293","Category4","User1"
"2016-12-12",4.24,"Description369","Category2","User1"
"2016-12-12",15.53,"Description411","Category2","User1"
"2016-12-14",73.65,"Description203","Category1","User1"
"2016-12-14",8.75,"Description363","Category4","User1"
"2016-12-14",13.32,"Description384","Category2","User1"
"2016-12-16",5.29,"Description143","Category2","User1"
"2016-12-17",11.18,"Description293","Category4","User1"
"2016-12-17",28.76,"Description425","Category2","User1"
"2016-12-21",73.53,"Description64","Category5","User1"
"2016-12-21",20.03,"Description284","Category2","User1"
"2016-12-22",8.71,"Description411","Category2","User1"
"2016-12-26",18.24,"Description412","Category5","User1"
"2016-12-27",48.46,"Description425","Category2","User1"
"2016-12-29",7.26,"Description338","Category4","User1"
"2016-12-30",5.65,"Description473","Category2","User1"
"2016-12-31",29.94,"Description369","Category2","User1"
"2017-01-03",2.37,"Description74","Category5","User1"
"2017-01-03",49.99,"Description460","Category1","User1"
"2017-01-04",10.57,"Description302","Category5","User1"
"2017-01-04",5.98,"Description369","Category2","User1"
"2017-01-05",116.99,"Description320","Category5","User1"
"2017-01-05",1.95,"Description342","Category5","User1"
"2017-01-06",62.1,"Description398","Category5","User1"
"2017-01-08",13.3,"Description183","Category4","User1"
"2017-01-09",17.99,"Description77","Category5","User1"
"2017-01-10",27.35,"Description369","Category2","User1"
"2017-01-11",34.95,"Description76","Category5","User1"
"2017-01-11",14.24,"Description369","Category2","User1"
"2017-01-12",9.93,"Description118","Category4","User1"
"2017-01-13",5.99,"Description450","Category5","User1"
"2017-01-14",63.06,"Description204","Category1","User1"
"2017-01-14",15.36,"Description269","Category4","User1"
"2017-01-18",2.5,"Description369","Category2","User1"
"2017-01-17",6.38,"Description359","Category3","User2"
"2017-01-13",744.5,"Description12","Category3","User2"
"2016-12-30",746.97,"Description12","Category3","User2"
"2016-12-23",278.13,"Description25","Category1","User2"
"2016-12-16",746.97,"Description12","Category3","User2"
"2016-12-07",0.12,"Description60","Category1","User2"
"2016-12-07",0.21,"Description60","Category1","User2"
"2016-12-07",0.12,"Description17","Category3","User2"
"2016-12-07",0.21,"Description17","Category3","User2"
"2016-12-05",1425,"Description57","Category1","User2"
"2016-12-02",746.97,"Description12","Category3","User2"
"2016-11-29",508.14,"Description19","Category1","User2"
"2016-11-18",746.97,"Description12","Category3","User2"
"2016-11-04",791.53,"Description12","Category3","User2"
"2016-11-03",15,"Description477","Category6","User2"
"2016-11-03",757.19,"Description475","Category3","User2"
"2016-10-24",30,"Description155","Category6","User2"
"2016-10-21",746.97,"Description12","Category3","User2"
